page,canonical_url,hubspot_path,hubspot_folder,src,raw_src,alt,title,width,height,loading,nearest_heading,parent_chain
sample.html,https://www.pythian.com/teradata-to-bigquery-migration,/hs-fs/hubfs/Pythian-Design-Assets-2025/Pythian-Logo-Files/Pythian-logo-White.webp,Pythian-Design-Assets-2025/Pythian-Logo-Files,https://www.pythian.com/hs-fs/hubfs/Pythian-Design-Assets-2025/Pythian-Logo-Files/Pythian-logo-White.webp?width=100&height=30&name=Pythian-logo-White.webp,https://www.pythian.com/hs-fs/hubfs/Pythian-Design-Assets-2025/Pythian-Logo-Files/Pythian-logo-White.webp?width=100&height=30&name=Pythian-logo-White.webp,Pythian-logo-White,Pythian-logo-White,100,30,,,a#hs-link-overlapping_header_logo_hs_logo_widget > span#hs_cos_wrapper_overlapping_header_logo_hs_logo_widget.hs_cos_wrapper.hs_cos_wrapper_widget.hs_cos_wrapper_type_logo > div#hs_cos_wrapper_overlapping_header_logo.hs_cos_wrapper.hs_cos_wrapper_widget.hs_cos_wrapper_type_module.widget-type-logo > div.header__logo__overlap > div.header__logo > div.col.s3.md-s3.sm-s4.justify-center
sample.html,https://www.pythian.com/teradata-to-bigquery-migration,/hs-fs/hubfs/Pythian-Design-Assets-2025/Pythian-Logo-Files/Pythian-logo-Black.webp,Pythian-Design-Assets-2025/Pythian-Logo-Files,https://www.pythian.com/hs-fs/hubfs/Pythian-Design-Assets-2025/Pythian-Logo-Files/Pythian-logo-Black.webp?width=100&height=30&name=Pythian-logo-Black.webp,https://www.pythian.com/hs-fs/hubfs/Pythian-Design-Assets-2025/Pythian-Logo-Files/Pythian-logo-Black.webp?width=100&height=30&name=Pythian-logo-Black.webp,Pythian-logo-Black,Pythian-logo-Black,100,30,lazy,,a#hs-link-sticky_header_logo_hs_logo_widget > span#hs_cos_wrapper_sticky_header_logo_hs_logo_widget.hs_cos_wrapper.hs_cos_wrapper_widget.hs_cos_wrapper_type_logo > div#hs_cos_wrapper_sticky_header_logo.hs_cos_wrapper.hs_cos_wrapper_widget.hs_cos_wrapper_type_module.widget-type-logo > div.header__logo__sticky > div.header__logo > div.col.s3.md-s3.sm-s4.justify-center
sample.html,https://www.pythian.com/teradata-to-bigquery-migration,/hs-fs/hubfs/Pythian-Design-Assets-2025/Home-Page/navbar/python-megamenu-image.png,Pythian-Design-Assets-2025/Home-Page/navbar,https://www.pythian.com/hs-fs/hubfs/Pythian-Design-Assets-2025/Home-Page/navbar/python-megamenu-image.png?width=1792&height=1042&name=python-megamenu-image.png,https://www.pythian.com/hs-fs/hubfs/Pythian-Design-Assets-2025/Home-Page/navbar/python-megamenu-image.png?width=1792&height=1042&name=python-megamenu-image.png,python-megamenu-image,,1792,1042,lazy,,p > div.nav__mega-aside.nav__mega-aside--text.col.s4 > div.row > div.container > div.nav__mega.nav__mega--width-default > li.nav__item.nav__item--branch.nav__item--mega-branch.nav__item--mega-branch-width-default
sample.html,https://www.pythian.com/teradata-to-bigquery-migration,/hubfs/Pythian-Design-Assets-2025/Pythian-Logo-Files/Pythian-logo-White.webp,Pythian-Design-Assets-2025/Pythian-Logo-Files,https://www.pythian.com/hubfs/Pythian-Design-Assets-2025/Pythian-Logo-Files/Pythian-logo-White.webp,https://www.pythian.com/hubfs/Pythian-Design-Assets-2025/Pythian-Logo-Files/Pythian-logo-White.webp,Pythian,,,,,,a.mnav__logo__link > div.mnav__logo > div.mnav__header > div.mnav__popup > div.mnav.mnav--dark > div.module__inner
sample.html,https://www.pythian.com/teradata-to-bigquery-migration,/hs-fs/hubfs/Pythian_Analytics_Level2_hero-1.png,,https://www.pythian.com/hs-fs/hubfs/Pythian_Analytics_Level2_hero-1.png?width=807&height=805&name=Pythian_Analytics_Level2_hero-1.png,https://www.pythian.com/hs-fs/hubfs/Pythian_Analytics_Level2_hero-1.png?width=807&height=805&name=Pythian_Analytics_Level2_hero-1.png,Pythian_Analytics_Level2_hero-1,,807,805,lazy,,div.module__inner > div.module.module--1740757553830.module--image > div#hs_cos_wrapper_widget_1740757553830.hs_cos_wrapper.hs_cos_wrapper_widget.hs_cos_wrapper_type_module > div.span12.widget-span.widget-type-custom_widget.dnd-module > div.row-fluid > div.row-fluid-wrapper.row-depth-1.row-number-4.dnd-row
sample.html,https://www.pythian.com/teradata-to-bigquery-migration,/hs-fs/hubfs/google-cloud-solutions.png,,https://www.pythian.com/hs-fs/hubfs/google-cloud-solutions.png?width=464&height=448&name=google-cloud-solutions.png,https://www.pythian.com/hs-fs/hubfs/google-cloud-solutions.png?width=464&height=448&name=google-cloud-solutions.png,google-cloud-solutions,,464,448,lazy,,a > div.img-txt__col-content > div.img-txt__col.img-txt__col--img > div.img-txt.img-txt--light.img-txt--ti.img-txt--sit.img-txt--stacked-txt-center.img-txt--stacked-img-center > div.module__inner > div.module.module--17409970256363.module--img-txt.module--md-text-center
sample.html,https://www.pythian.com/teradata-to-bigquery-migration,/hs-fs/hubfs/Media/Imported_Blog_Media/shutterstock_397615111-scaled-1.png,Media/Imported_Blog_Media,https://www.pythian.com/hs-fs/hubfs/Media/Imported_Blog_Media/shutterstock_397615111-scaled-1.png?width=476&height=461&name=shutterstock_397615111-scaled-1.png,https://www.pythian.com/hs-fs/hubfs/Media/Imported_Blog_Media/shutterstock_397615111-scaled-1.png?width=476&height=461&name=shutterstock_397615111-scaled-1.png,shutterstock_397615111-scaled-1,,476,461,lazy,,a > div.img-txt__col-content > div.img-txt__col.img-txt__col--img > div.img-txt.img-txt--light.img-txt--it.img-txt--sit.img-txt--stacked-txt-center.img-txt--stacked-img-center > div.module__inner > div.module.module--17409972387414.module--img-txt.module--md-text-center
sample.html,https://www.pythian.com/teradata-to-bigquery-migration,/hs-fs/hubfs/How%20to%20Back%20Up%20and%20Restore%20a%20Set%20of%20%20Collections%20in%20MongoDB%20Atlas-jpeg.jpeg,,https://www.pythian.com/hs-fs/hubfs/How%20to%20Back%20Up%20and%20Restore%20a%20Set%20of%20%20Collections%20in%20MongoDB%20Atlas-jpeg.jpeg?width=1280&height=675&name=How%20to%20Back%20Up%20and%20Restore%20a%20Set%20of%20%20Collections%20in%20MongoDB%20Atlas-jpeg.jpeg,https://www.pythian.com/hs-fs/hubfs/How%20to%20Back%20Up%20and%20Restore%20a%20Set%20of%20%20Collections%20in%20MongoDB%20Atlas-jpeg.jpeg?width=1280&height=675&name=How%20to%20Back%20Up%20and%20Restore%20a%20Set%20of%20%20Collections%20in%20MongoDB%20Atlas-jpeg.jpeg,How to Back Up and Restore a Set of  Collections in MongoDB Atlas-jpeg,,1280,675,lazy,,div.go-card__img > div.go-card__content > div.go-card.go-card--174100160397010-1.go-card--white.go-card--with-link.go-card--shadow > div.col.s4.md-s6.sm-s12 > div.row.items-stretch.justify-center > div.module__inner
sample.html,https://www.pythian.com/teradata-to-bigquery-migration,/hs-fs/hubfs/Unlocking%20Sales%20Success%20with%20Gemini%20Large-jpeg.jpeg,,https://www.pythian.com/hs-fs/hubfs/Unlocking%20Sales%20Success%20with%20Gemini%20Large-jpeg.jpeg?width=1280&height=760&name=Unlocking%20Sales%20Success%20with%20Gemini%20Large-jpeg.jpeg,https://www.pythian.com/hs-fs/hubfs/Unlocking%20Sales%20Success%20with%20Gemini%20Large-jpeg.jpeg?width=1280&height=760&name=Unlocking%20Sales%20Success%20with%20Gemini%20Large-jpeg.jpeg,Unlocking Sales Success with Gemini Large-jpeg,,1280,760,lazy,,div.go-card__img > div.go-card__content > div.go-card.go-card--174100160397010-2.go-card--white.go-card--with-link.go-card--shadow > div.col.s4.md-s6.sm-s12 > div.row.items-stretch.justify-center > div.module__inner
sample.html,https://www.pythian.com/teradata-to-bigquery-migration,/hs-fs/hubfs/Pythian-CS-Openforce-RC_img-1.jpg,,https://www.pythian.com/hs-fs/hubfs/Pythian-CS-Openforce-RC_img-1.jpg?width=1280&height=675&name=Pythian-CS-Openforce-RC_img-1.jpg,https://www.pythian.com/hs-fs/hubfs/Pythian-CS-Openforce-RC_img-1.jpg?width=1280&height=675&name=Pythian-CS-Openforce-RC_img-1.jpg,Pythian-CS-Openforce-RC_img-1,,1280,675,lazy,,div.go-card__img > div.go-card__content > div.go-card.go-card--174100160397010-3.go-card--white.go-card--with-link.go-card--shadow > div.col.s4.md-s6.sm-s12 > div.row.items-stretch.justify-center > div.module__inner
